Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
FLXS,"Flexsteel Industries, Inc. - Common Stock",72.98,94.3,-4.2,62.72,51.61,48.21,76.2,32.79
RXO,"RXO, Inc. Common Stock",29.29,94.3,0.0,25.44,18.66,17.76,29.29,10.48
PTGX,"Protagonist Therapeutics, Inc. - Common Stock",140.91,94.2,0.0,112.67,98.85,93.95,140.91,50.96
WTTR,"Select Water Solutions, Inc. Class A common stock",20.33,94.2,0.0,18.78,15.12,14.0,20.33,7.78
MYE,"Myers Industries, Inc. Common Stock",31.11,94.2,-11.9,26.38,22.56,21.16,35.31,14.11
MATX,"Matson, Inc. Common Stock",222.18,94.1,-0.6,193.08,167.3,150.92,223.55,87.4
EXTR,"Extreme Networks, Inc. - Common Stock",30.34,94.1,-10.0,28.68,20.24,19.89,33.71,13.74
CRS,Carpenter Technology Corporation Common Stock,557.77,94.0,-9.9,519.47,421.64,389.36,619.25,231.97
MITK,"Mitek Systems, Inc. - Common Stock",18.97,94.0,-5.8,17.02,14.01,12.82,20.14,8.65
CGEM,"Cullinan Therapeutics, Inc. - Common Stock",17.69,94.0,-4.3,15.87,13.84,12.51,18.48,5.75
DINO,HF Sinclair Corporation Common Stock,88.59,94.0,0.0,71.93,60.17,58.02,88.59,40.83
ENVA,"Enova International, Inc. Common Stock",232.52,93.9,-4.0,193.83,166.51,155.06,242.18,100.56
ELSE,"Electro-Sensors, Inc. - Common Stock",7.7,93.9,-0.1,7.67,5.69,5.44,7.71,4.05
AVNS,"Avanos Medical, Inc. Common Stock",24.97,93.8,-0.3,24.87,18.31,16.58,25.05,9.89
NNBR,"NN, Inc. - Common Stock",3.18,93.6,-20.3,2.94,2.04,1.94,3.99,1.14
FTK,"Flotek Industries, Inc. Common Stock",26.17,93.6,-2.2,22.11,18.63,17.86,26.77,11.04
CERS,Cerus Corporation - Common Stock,3.13,93.6,-4.6,2.78,2.35,2.17,3.28,1.16
FEIM,"Frequency Electronics, Inc. - Common Stock",65.9,93.6,-14.6,65.16,55.91,50.24,77.15,20.38
TDAY,"USA TODAY Co., Inc. Common Stock",8.5,93.5,-4.1,7.97,6.84,6.25,8.86,3.49
RSI,"Rush Street Interactive, Inc. Class A Common Stock",32.5,93.5,-4.9,29.09,23.24,21.99,34.18,14.51
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",34.5,93.4,0.0,26.68,21.96,21.57,34.5,11.68
VLO,Valero Energy Corporation Common Stock,309.65,93.4,0.0,257.97,223.95,209.95,309.65,129.53
ECPG,Encore Capital Group Inc - Common Stock,91.33,93.4,-2.6,84.56,71.39,65.07,93.79,35.97
CURR,Currenc Group Inc. - Ordinary Shares,3.41,93.3,-24.1,3.2,2.58,2.51,4.49,1.34
KNSA,"Kiniksa Pharmaceuticals International, plc - Class A Ordinary Shares",63.95,93.3,-5.0,56.44,48.7,46.43,67.29,26.33
GPRE,"Green Plains, Inc. - Common Stock",19.23,93.2,0.0,15.9,14.4,13.34,19.23,7.31
NEO,"NeoGenomics, Inc. - Common Stock",14.61,93.2,-3.6,11.45,10.64,10.57,15.16,4.84
NRIX,"Nurix Therapeutics, Inc. - Common stock",23.12,93.2,-6.4,18.91,17.58,16.4,24.69,8.24
TWLO,Twilio Inc. Class A Common Stock,206.78,93.1,-12.6,202.29,154.19,145.36,236.64,92.44
ATLC,Atlanticus Holdings Corporation - Common Stock,100.68,93.1,-8.8,90.82,70.92,67.22,110.41,47.96
CBL,"CBL & Associates Properties, Inc. Common Stock",55.27,93.1,-0.0,49.14,41.48,38.62,55.28,24.99
ALKS,Alkermes plc - Ordinary Shares,52.72,93.1,-4.5,44.82,35.83,34.49,55.22,26.13
LGND,Ligand Pharmaceuticals Incorporated - Common Stock,303.39,93.0,-6.0,260.53,222.05,214.42,322.61,131.58
PLSE,"Pulse Biosciences, Inc - Common Stock",28.68,93.0,-1.9,25.6,20.89,19.67,29.24,12.66
CTNM,"Contineum Therapeutics, Inc. - Common stock",14.23,93.0,-13.2,13.55,13.26,12.76,16.39,3.84
CALY,Callaway Golf Company Common Stock,19.38,93.0,-1.4,16.89,14.85,13.68,19.66,8.12
MKDW,MKDWELL Tech Inc. - Ordinary Shares,11.16,92.9,-7.0,9.33,6.2,6.16,12.0,1.95
NAT,Nordic American Tankers Limited Common Stock,6.05,92.8,-6.5,5.57,4.87,4.48,6.47,2.49
RAPP,"Rapport Therapeutics, Inc. - Common Stock",42.62,92.8,0.0,38.44,32.89,31.41,42.62,14.04
ECO,Okeanis Eco Tankers Corp. Common Stock,53.88,92.8,-5.1,52.15,45.52,42.02,56.77,21.16
ASMH,ASML Holding NV ADRhedged,11.98,92.7,-12.0,11.66,9.83,9.11,13.62,4.6
ATI,ATI Inc. Common Stock,186.17,92.7,-8.8,180.67,152.97,137.89,204.09,71.34
PBI,Pitney Bowes Inc. Common Stock,18.51,92.7,0.0,16.77,12.97,12.26,18.51,8.89
KRYS,"Krystal Biotech, Inc. - Common Stock",354.86,92.6,-6.2,328.76,285.23,263.77,378.15,134.94
RCUS,"Arcus Biosciences, Inc. Common Stock",27.37,92.6,-11.9,26.07,23.61,22.58,31.08,9.06
MPC,Marathon Petroleum Corporation Common Stock,312.6,92.5,0.0,261.52,222.87,214.4,312.6,155.55
SEPN,"Septerna, Inc. - Common Stock",33.4,92.5,-11.7,31.63,27.95,26.63,37.84,10.93
FA,First Advantage Corporation - Common Stock,22.35,92.4,0.0,17.04,14.1,14.04,22.35,8.95
TGTX,"TG Therapeutics, Inc. - Common Stock",54.87,92.4,-7.1,47.4,36.58,35.76,59.06,26.39
ILMN,"Illumina, Inc. - Common Stock",186.65,92.4,-4.0,165.0,142.48,134.85,194.33,91.0
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",17.85,92.3,-1.1,14.94,13.76,13.08,18.04,7.82
XMAX,"XMAX, Inc. - Common Stock",8.51,92.3,-7.0,8.48,7.14,6.74,9.15,1.66
MRNA,"Moderna, Inc. - Common Stock",61.82,92.3,-24.4,57.09,49.2,43.39,81.8,22.36
ICCC,ImmuCell Corporation - Common Stock,11.12,92.2,-5.1,9.88,7.73,7.26,11.72,4.56
PBT,Permian Basin Royalty Trust Common Stock,28.4,92.2,-8.3,27.19,22.15,21.11,30.96,12.4
ARKO,ARKO Corp. - Common Stock,7.96,92.1,-7.9,7.63,6.26,5.77,8.64,3.76
BMHL,Bluemount Holdings Limited - Class B Ordinary Shares,5.69,92.1,-7.6,5.12,4.11,3.94,6.16,3.07
TWIN,"Twin Disc, Incorporated - Common Stock",22.59,92.1,-6.6,19.95,17.82,17.15,24.19,8.4
BCAX,Bicara Therapeutics Inc. - Common Stock,27.76,92.1,-8.7,23.85,20.29,19.44,30.4,9.99
INDV,"Indivior Pharmaceuticals, Inc.  - Common Stock",40.54,92.0,-3.1,38.73,35.25,33.64,41.83,15.6
OOMA,"Ooma, Inc. Common Stock",20.67,92.0,-0.8,18.63,14.96,14.06,20.83,10.58
LXRX,"Lexicon Pharmaceuticals, Inc. - Common Stock",2.39,91.9,-9.5,2.14,1.7,1.63,2.64,1.02
CARE,"Carter Bankshares, Inc. - Common Stock",33.35,91.9,-3.6,29.65,24.22,22.71,34.59,16.88
ASTH,Astrana Health Inc. - Common Stock,44.94,91.9,-9.8,41.09,30.65,29.85,49.81,18.16
JBIO,"Jade Biosciences, Inc. - Common Stock",20.86,91.8,-22.3,20.74,17.82,15.97,26.85,6.77
NVRI,Enviri Corporation Common Stock,22.91,91.8,-1.6,20.76,19.39,18.02,23.28,8.27
JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,247.53,91.7,-0.3,234.58,197.9,185.52,248.25,105.93
LPRO,Open Lending Corporation - Common Stock,3.14,91.7,0.0,2.52,1.9,1.88,3.14,1.2
AAMI,Acadian Asset Management Inc. Common Stock,82.79,91.6,-0.6,74.57,61.23,57.28,83.27,39.16
HTLD,"Heartland Express, Inc. - Common Stock",15.39,91.6,-5.0,14.7,11.99,10.99,16.2,7.04
JBHT,"J.B. Hunt Transport Services, Inc. - Common Stock",291.41,91.6,-2.3,272.65,234.8,216.7,298.41,129.81
CGON,"CG Oncology, Inc. - Common stock",71.85,91.5,-4.5,65.49,59.76,55.27,75.24,23.94
CTOS,"Custom Truck One Source, Inc. Common Stock",10.34,91.5,-13.6,10.28,7.99,7.53,11.97,5.34
MSBI,"Midland States Bancorp, Inc. - Common Stock",31.12,91.4,-1.8,29.01,24.52,22.37,31.7,13.98
