Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
PTGX,"Protagonist Therapeutics, Inc. - Common Stock",136.11,95.3,-3.4,116.15,100.28,95.72,140.91,50.96
SHIP,Seanergy Maritime Holdings Corp. - Common Stock,16.18,95.3,-1.6,14.95,13.04,11.95,16.44,6.45
DVA,DaVita Inc. Common Stock,235.44,95.2,-0.8,212.64,164.4,153.84,237.28,103.87
DINO,HF Sinclair Corporation Common Stock,88.3,95.2,-3.7,73.8,61.56,59.0,91.69,40.83
MOV,Movado Group Inc. Common Stock,36.51,95.2,-8.2,35.78,27.84,25.5,39.78,14.22
GHRS,GH Research PLC - Ordinary Shares,27.28,95.2,-6.4,24.31,18.81,17.56,29.13,11.8
CIFR,Cipher Digital Inc. - Common Stock,23.15,95.1,-20.7,23.12,18.62,18.56,29.18,4.72
EXTR,"Extreme Networks, Inc. - Common Stock",29.49,95.0,-12.5,29.32,20.67,20.13,33.71,13.74
NHC,National HealthCare Corporation Common Stock,225.69,95.0,-1.1,202.1,171.49,160.17,228.16,92.88
MYE,"Myers Industries, Inc. Common Stock",31.44,95.0,-11.0,27.25,22.94,21.52,35.31,14.25
CBL,"CBL & Associates Properties, Inc. Common Stock",57.57,94.9,0.0,50.26,42.16,39.3,57.57,25.1
PKOH,Park-Ohio Holdings Corp. - Common Stock,38.47,94.9,-2.0,34.83,28.23,26.26,39.27,15.32
NNBR,"NN, Inc. - Common Stock",3.53,94.8,-11.5,3.02,2.11,1.97,3.99,1.14
IMVT,"Immunovant, Inc.  - Common Stock",39.41,94.8,-4.1,35.42,29.35,27.5,41.09,14.69
TIGO,Millicom International Cellular S.A. - Common Stock,94.54,94.8,-4.1,88.91,74.52,67.74,98.61,36.06
KFRC,"Kforce, Inc. Common Stock",55.12,94.7,-6.1,48.55,37.18,34.89,58.71,23.68
CNC,Centene Corporation Common Stock,63.41,94.7,-7.7,63.22,48.98,45.97,68.72,25.21
ENVA,"Enova International, Inc. Common Stock",237.27,94.7,-2.0,199.45,168.88,157.92,242.18,100.56
PGEN,"Precigen, Inc. - Common Stock",5.4,94.7,-8.8,4.8,4.34,4.22,5.92,1.57
KYMR,"Kymera Therapeutics, Inc. - Common Stock",110.57,94.6,-7.4,95.63,86.05,80.95,119.35,37.68
KNSA,"Kiniksa Pharmaceuticals International, plc - Class A Ordinary Shares",62.84,94.6,-6.6,56.9,49.43,47.04,67.29,26.33
OSCR,"Oscar Health, Inc. Class A Common Stock",28.19,94.5,-12.4,27.29,19.06,18.68,32.18,10.85
ALKS,Alkermes plc - Ordinary Shares,52.89,94.5,-4.2,46.49,36.64,35.03,55.22,26.13
ATEN,"A10 Networks, Inc. Common Stock",34.27,94.5,-10.1,33.12,25.24,23.3,38.11,16.47
HNGE,"Hinge Health, Inc. Class A Common Stock",74.31,94.4,-17.4,70.66,52.21,51.17,90.0,31.17
NRIX,"Nurix Therapeutics, Inc. - Common stock",23.38,94.4,-5.3,19.61,17.72,16.75,24.69,8.24
VLO,Valero Energy Corporation Common Stock,302.5,94.4,-3.9,264.84,228.67,213.62,314.8,129.53
RSI,"Rush Street Interactive, Inc. Class A Common Stock",31.43,94.3,-9.0,29.55,23.68,22.31,34.52,14.7
LPRO,Open Lending Corporation - Common Stock,3.15,94.2,0.0,2.65,1.95,1.91,3.15,1.2
PBT,Permian Basin Royalty Trust Common Stock,29.23,94.2,-5.6,27.66,22.55,21.4,30.96,12.78
DHX,"DHI Group, Inc. Common Stock",3.85,94.2,-6.8,3.75,2.82,2.59,4.13,1.5
PLSE,"Pulse Biosciences, Inc - Common Stock",30.23,94.1,-7.7,26.66,21.45,19.97,32.76,12.66
ASMH,ASML Holding NV ADRhedged,12.12,94.1,-11.0,11.85,10.0,9.24,13.62,4.6
CARE,"Carter Bankshares, Inc. - Common Stock",34.01,94.1,-1.7,30.37,24.67,23.07,34.59,16.88
FET,"Forum Energy Technologies, Inc. Common Stock",57.86,94.0,-10.4,52.48,51.99,46.58,64.54,18.16
TDAY,"USA TODAY Co., Inc. Common Stock",8.4,94.0,-5.2,8.08,6.94,6.35,8.86,3.49
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",4.99,94.0,-8.9,4.18,3.57,3.24,5.48,1.81
AVNS,"Avanos Medical, Inc. Common Stock",24.99,93.9,-0.2,24.9,18.75,16.92,25.05,9.89
ILMN,"Illumina, Inc. - Common Stock",194.09,93.9,-1.4,169.95,144.39,137.15,196.86,91.0
OKTA,"Okta, Inc. - Class A Common Stock",138.5,93.9,-10.4,122.0,94.92,92.8,154.62,62.93
FTK,"Flotek Industries, Inc. Common Stock",25.84,93.9,-5.3,23.1,18.97,18.13,27.28,11.04
ARCB,ArcBest Corporation - Common Stock,154.3,93.8,-10.9,145.59,114.51,103.31,173.22,59.5
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",17.92,93.8,-1.0,15.41,13.94,13.27,18.1,7.82
FRO,Frontline Plc Ordinary Shares,39.29,93.8,-8.4,36.65,31.92,29.44,42.88,17.11
HUM,Humana Inc. Common Stock,389.32,93.7,-4.9,360.42,262.4,261.64,409.42,162.46
ECPG,Encore Capital Group Inc - Common Stock,90.15,93.7,-3.9,85.11,72.52,66.25,93.79,35.97
MPC,Marathon Petroleum Corporation Common Stock,309.24,93.6,-3.3,268.31,227.23,217.51,319.76,155.55
MSBI,"Midland States Bancorp, Inc. - Common Stock",32.25,93.6,0.0,29.39,24.87,22.75,32.25,13.98
CGEM,"Cullinan Therapeutics, Inc. - Common Stock",17.1,93.6,-7.5,16.12,14.04,12.8,18.48,5.75
MAN,ManpowerGroup Common Stock,51.33,93.5,-3.4,35.52,31.2,30.81,53.11,25.16
JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,253.87,93.5,-0.4,237.06,200.71,188.38,254.87,105.93
NEO,"NeoGenomics, Inc. - Common Stock",13.89,93.5,-8.4,11.98,10.71,10.7,15.16,4.84
AXSM,"Axsome Therapeutics, Inc. - Common Stock",241.0,93.5,-5.6,238.53,197.21,182.46,255.17,100.39
WTTR,"Select Water Solutions, Inc. Class A common stock",20.17,93.4,-5.5,19.1,15.44,14.25,21.35,7.78
LITB,"LightInTheBox Holding Co., Ltd. American Depositary Shares, each representing twelve ordinary shares",3.29,93.4,-13.9,3.12,2.68,2.6,3.82,1.16
CERS,Cerus Corporation - Common Stock,2.93,93.4,-10.7,2.83,2.38,2.2,3.28,1.16
MATX,"Matson, Inc. Common Stock",210.57,93.3,-5.8,196.49,170.45,153.85,223.55,87.4
MRX,Marex Group Limited - Ordinary Shares,65.56,93.3,-6.7,60.65,48.65,44.73,70.29,27.92
RCUS,"Arcus Biosciences, Inc. Common Stock",28.42,93.2,-8.6,26.46,23.81,22.97,31.08,9.06
CXW,"CoreCivic, Inc. Common Stock",31.35,93.2,-2.6,26.95,21.85,20.9,32.18,16.13
TWIN,"Twin Disc, Incorporated - Common Stock",23.22,93.1,-4.0,20.4,18.06,17.38,24.19,8.4
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",183.28,93.1,-13.0,177.91,131.86,131.2,210.73,87.56
TRVI,"Trevi Therapeutics, Inc. - Common Stock",17.53,93.1,-10.1,16.01,13.43,12.95,19.5,7.01
UFI,"Unifi, Inc. New Common Stock",6.29,93.0,-3.5,4.74,4.09,4.05,6.52,2.98
LGND,Ligand Pharmaceuticals Incorporated - Common Stock,300.53,92.9,-6.8,268.52,225.81,217.45,322.61,131.58
ATLC,Atlanticus Holdings Corporation - Common Stock,99.48,92.9,-9.9,92.52,71.96,68.22,110.41,47.96
CYRX,"CryoPort, Inc. - Common Stock",15.37,92.9,-7.2,15.19,11.41,10.91,16.57,6.74
SEPN,"Septerna, Inc. - Common Stock",33.1,92.8,-12.5,32.54,28.19,26.97,37.84,10.93
NTAP,"NetApp, Inc. - Common Stock",167.74,92.7,-7.1,155.69,120.65,118.77,180.53,93.35
TGTX,"TG Therapeutics, Inc. - Common Stock",56.04,92.7,-5.1,48.57,37.35,36.2,59.06,26.39
